row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9099369235
MeanDiff,LogReg,0.3365514605
MeanDiff,PCA,0.9123306846
MeanDiff,Random,0.01034138303
KMeans,MeanDiff,0.9099369235
KMeans,KMeans,1
KMeans,LogReg,0.01640421567
KMeans,PCA,0.9999004493
KMeans,Random,-0.01366237415
LogReg,MeanDiff,0.3365514605
LogReg,KMeans,0.01640421567
LogReg,LogReg,1
LogReg,PCA,0.01993207821
LogReg,Random,0.02466940224
PCA,MeanDiff,0.9123306846
PCA,KMeans,0.9999004493
PCA,LogReg,0.01993207821
PCA,PCA,1
PCA,Random,-0.01320351752
Random,MeanDiff,0.01034138303
Random,KMeans,-0.01366237415
Random,LogReg,0.02466940224
Random,PCA,-0.01320351752
Random,Random,1
